Proposition,Nom d&apos;auteur,Âge,Département,Nb de votes,% pour,% contre,% neutre,theme,cluster_id
"Il faut favoriser l&apos;aménagement, l&apos;entretien, la préservation de haies, fossés et chemins creux dans les campagnes",Manou,53.0,35.0,296,0.91,0.025,0.065,Urban Planning and Green Spaces,16
"Il faut aider et inciter les petites restaurations à supprimer les emballages jetables, au profit d&apos;emballages réutilisables consignés",Chantal,53.0,62.0,323,0.865,0.024,0.111,Waste Reduction and Recycling,18
"Il faut créer des mini forêts denses en centre-ville, dans les cours d’école, parkings pour amener des îlots de fraîcheur et de biodiversité",Pierre,75.0,57.0,281,0.865,0.051,0.085,Environmental Protection,8
Il faut recréer des bocages et des forêts,Gabriel,45.0,,302,0.882,0.051,0.067,Biomass and Forest Management,2
Il faut encourager l&apos;utilisation des contenants réutilisables.,benoit,47.0,50.0,297,0.937,0.015,0.048,Waste Reduction and Recycling,18
"Il faut végétaliser les grandes places publiques des villes et replanter des arbres partout (places, avenues, bords de route)",Maxime,36.0,14.0,294,0.869,0.055,0.076,Urban Planning and Green Spaces,16
"Il faut que le recensement des effectifs des espèces implique aussi les associations de protection de l’environnement, pas que les chasseurs",Le Pôle Grands Prédateurs,,,935,0.841,0.097,0.062,Conservation of Biodiversity,5
Il faut programmer la rénovation de stations d&apos;épuration trop petites ou trop vieilles : éviterait le rejet des surplus dans les cours d&apos;eau,bibi,50.0,,288,0.885,0.029,0.086,Water Conservation,19
Il faut un plan de sortie des pesticides : donc un agenda de sortie réaliste assorti de solutions d’accompagnement des agriculteurs.,Florence,42.0,,302,0.857,0.082,0.061,Pesticide Reduction,11
Il faut que les industriels / entreprises s&apos;engagent à restaurer la biodiversité quand leur activité a un impact sur la nature,Clémentine,36.0,78.0,278,0.872,0.044,0.084,Conservation of Biodiversity,5
Il faut accompagner et soutenir les agriculteurs pour réduire les pesticides et protéger les habitats naturels comme les haies,Noé,,,350,0.888,0.057,0.055,Environmental Protection,8
Il faut initier les enfants en milieu scolaire à l’écologie et la biodiversité de manière ludique de façon à les responsabiliser,Sandrine,54.0,31.0,244,0.907,0.03,0.063,Citizen Engagement and Education,3
Il faut prévoir plus de transparence et de contrôle dans la gestion de déchets,Sigrid,53.0,,305,0.911,0.024,0.065,Waste Reduction and Recycling,18
Il faut contribuer à protéger et réintroduire les espèces en voie de disparition dans leur habitat naturel,AXA,,,314,0.912,0.041,0.047,Conservation of Biodiversity,5
Il faut inciter les communes et les commerçants à réduire l’éclairage pour économiser de l’énergie et respecter le cycle de vie des espèces,Noé,,,678,0.913,0.037,0.05,Environmental Protection,8
Il faut diminuer la polution sonore et lumineuse des villes,Aznar,26.0,,460,0.913,0.028,0.058,Environmental Protection,8
"Il faut supprimer le plus possible le plastique : tous chercher des solutions, imposer des changements, y compris aux industriels",G,,,292,0.885,0.028,0.086,Environmental Protection,8
"Il faut installer des potagers dans les écoles. Permettre aux enfants d’être en contact avec la nature, pour qu’ils puissent la respecter !",Aurore,38.0,8.0,292,0.875,0.032,0.093,Sustainable Agriculture,14
Il faut encourager la consommation de produits locaux et respectueux de l&apos;environnement en baissant la TVA sur ces produits,Sophie,57.0,9.0,300,0.863,0.038,0.099,Environmental Protection,8
Il faut permettre aux agriculteurs de transiter vers l&apos;agriculture de conservation des sols plus résiliente avec une rémunération incitative,Bertrand,57.0,,294,0.859,0.062,0.079,Sustainable Agriculture,14
Il faut restaurer des zones de biodiversité en ville comme les parcs ou des zones plantées le long des routes avec les trottoirs,jules,22.0,,276,0.904,0.034,0.062,Urban Planning and Green Spaces,16
Il faut que les normes d&apos;agriculture appliquées en France soient les mêmes qu&apos;en Europe et que les produits importés les respectent.,Maxime,36.0,14.0,294,0.845,0.069,0.086,Sustainable Agriculture,14
Il faut sensibiliser les enfants à la préservation de la biodiversité en organisant des sorties naturalistes,Maëva,,,242,0.895,0.018,0.088,Conservation of Biodiversity,5
Il faut baisser la TVA sur les fruits et légumes de saison.,Géraldine,35.0,,298,0.83,0.045,0.125,Sustainable Agriculture,14
Il faut développer les recherches sur les polluants éternels ,François,54.0,,292,0.885,0.028,0.086,Environmental Protection,8
Il faut arrêter de faire importer des fruits et légumes du monde entier alors que nous pouvons les avoir chez nous.,Montaine,17.0,,301,0.87,0.047,0.082,Sustainable Agriculture,14
Il faut interdire l&apos;élevage en batterie et favoriser l&apos;élevage mixte en extérieur,maxime,33.0,,302,0.876,0.084,0.041,Animal Welfare,0
Il faut sanctionner plus sévèrement la détention et l’achat par des particuliers d’oiseaux sauvages protégés comme le chardonneret.,Eric,54.0,33.0,292,0.875,0.052,0.073,Animal Welfare,0
"Il faut arrêter de détruire nos forêts par des exploitations anarchiques, sans remise en état des sites, le tout au mépris de la faune.",Jean-Luc,71.0,,293,0.889,0.062,0.049,Biomass and Forest Management,2
"Il faut des cours pratiques tout au long de la scolarité pour, outre la sensibilisation, passer à l&apos;engagement et à l&apos;action durable",DS,53.0,,294,0.869,0.032,0.099,Citizen Engagement and Education,3
Il faut développer l’hydrologie régénerative en agriculture (fossés) pour laisser le temps à l’eau de s’infiltrer et de regagner la nappe.,Isabelle,54.0,,285,0.837,0.05,0.113,Water Conservation,19
"Il faut promouvoir l’agriculture de conservation des sols, la couverture permanente des sols",Vincent,43.0,76.0,296,0.845,0.038,0.117,Environmental Protection,8
Il faut repenser notre modèle économique pour inclure la biodiversité au cœur des décisions,Marie,44.0,,329,0.852,0.045,0.103,Conservation of Biodiversity,5
"Il faut végétaliser nos villes, planter des arbres, utiliser les toitures terrasses pour créer des espaces de verdure (jardins partagés)",Antonio,65.0,974.0,299,0.883,0.038,0.079,Urban Planning and Green Spaces,16
Il faut éteindre les devantures de magasins/agences/etc. la nuit pour ne plus perturber les cycles naturels et faire des économies d&apos;énergie,celia,24.0,13.0,296,0.9,0.038,0.062,Renewable Energy and Sustainable Development,13
"Il faut sensibiliser les agriculteurs et la commune à la protection des haies, des corridors écologiques et des trames bleues.",Alain,65.0,1.0,301,0.88,0.067,0.052,Conservation of Biodiversity,5
"Il faut collecter en ville les eaux de pluie qui permettent des ilots de fraicheur, de la biodiversité, de l’arrosage",Bryan,24.0,,242,0.911,0.03,0.059,Water Conservation,19
Il faut sensibiliser dès le jeune âge les enfants sur l&apos;importance de la biodiversité et les faire participer à des projets concrets.,Gwenaëlle,22.0,,272,0.902,0.031,0.067,Conservation of Biodiversity,5
Il faut développer des solutions alternatives aux plastiques à usage unique encore trop présents,Emma,40.0,,359,0.922,0.036,0.043,Waste Reduction and Recycling,18
Il faut proposer aux enfants de participer a la découverte de leur quartier ville région et surtout connaître et comprendre notre nature.,Mehdi,58.0,,292,0.878,0.025,0.097,Urban Planning and Green Spaces,16
Il faut que le lynx soit reconnu par la population du massif jurassien comme une espèce patrimoniale.,Le Pôle Grands Prédateurs,,,928,0.793,0.089,0.118,Conservation of Biodiversity,5
Il faut développer le transport des marchandises par rails et diminuer le transport par camions sur longue distance,Valérie,62.0,1.0,298,0.889,0.048,0.063,Sustainable Transportation,15
"Il faut surveiller et sanctionner les dépôts, jets de déchets de toutes sortes.",Gilles,57.0,,296,0.904,0.031,0.065,Waste Reduction and Recycling,18
"Il faut créer des espaces protégés, à terre et en mer, en défendre l&apos;accès et des zones de petite pêche interdites aux pêches industrielles",frank,,,296,0.873,0.055,0.072,Protected Areas and Nature Reserves,12
Il faut éduquer la population à jeter ses déchets dans les poubelles et non dans la nature : sanctionner sévèrement les dépôts sauvages,Prune,29.0,974.0,297,0.929,0.018,0.053,Waste Reduction and Recycling,18
Il faut soutenir et encourager les jeunes paysans qui risquent de disparaitre dans les vingt ans qui suivent,Michel,65.0,2.0,296,0.836,0.038,0.126,Sustainable Agriculture,14
"Il faut développer les outils du 0 déchets tels que le vrac, le compostage public et la consigne.&#10;Que ça soit accessible à tous.",Justine,31.0,,300,0.888,0.041,0.071,Waste Reduction and Recycling,18
"Il faut reboiser en essences de différents arbres, replanter les haies, arrêter immédiatement l&apos;imperméabilisation des sols !",Michel,,,300,0.888,0.051,0.061,Biomass and Forest Management,2
"Il faut que nos élus dans toutes les communes de France reçoivent une formation sur la biodiversité, les ressources en eau..",marie,53.0,,282,0.86,0.044,0.096,Conservation of Biodiversity,5
"Il faut prendre en compte les espèces du bâti dans les constructions, cela concerne en particulier : Moineau , Martinet noir, Hirondelles",François,,,292,0.854,0.025,0.121,Environmental Protection,8
"Il faut empêcher les navires-usine d&apos;opérer en ZEE, notamment en baie de Seine, afin de privilégier la petite pêche.",Samuel,40.0,,296,0.844,0.021,0.134,Water Conservation,19
Il faut instaurer une régulation stricte des polluants éternels et des matières plastiques dans nos circuits de productions industriels,Gaël,33.0,,303,0.853,0.034,0.113,Waste Reduction and Recycling,18
Il faut rendre obligatoire la (re)plantation de haies aux collectivités locales sur 10 % au moins de leur territoire,Chantal,63.0,51.0,295,0.852,0.062,0.086,Biomass and Forest Management,2
"Il faut repenser notre utilisation de l&apos;eau potable, la réserver à la cuisine et à la boisson : encourager captation et filtrage de la pluie",Christine,67.0,,286,0.855,0.039,0.106,Water Conservation,19
Il faut exiger des industriels qui produisent des plastiques qu’ils les recyclent impérativement ou interdire leur production.,Dominique,70.0,,293,0.882,0.049,0.069,Waste Reduction and Recycling,18
Il faut encourager la vente de produit locaux et de saisons (ex: AMAP),Elsa,46.0,,294,0.894,0.035,0.071,Sustainable Agriculture,14
Il faut interdire la destruction des haies champêtres.,Florent,43.0,47.0,298,0.872,0.086,0.041,Biomass and Forest Management,2
"Il faut promouvoir l&apos;agroforesterie, la rotation des cultures, l&apos;utilisation de compost pour améliorer la qualité des sols.",Emilie,44.0,78.0,296,0.919,0.046,0.035,Environmental Protection,8
Il faut mettre en place des programmes pédagogiques dans les écoles montrant le lien entre santé de l&apos;environnement et santé des humains.,sabine,,,296,0.885,0.045,0.07,Citizen Engagement and Education,3
Il faut mettre en place des mesures encourageant la mise enplace de haies d&apos;essences variées pour les particuliers.,Dominique,52.0,68.0,294,0.879,0.062,0.059,Biomass and Forest Management,2
Il faut interdire la pêche des poissons comme le bar en pleine période de reproduction.,Samuel,40.0,,296,0.836,0.052,0.112,Conservation of Biodiversity,5
Il faut stopper la construction de biens locatifs à proximité des zones sensibles pour réduire le tourisme de masse et la présence humaine.,Le Pôle Grands Prédateurs,,,918,0.813,0.087,0.1,Environmental Protection,8
"Il faut faire adapter les emballages aux contenus qu&apos;ils contiennent réellement, trop de gâchis et de tromperie vis à vis des consommateurs",Michelle,,,297,0.884,0.031,0.085,Waste Reduction and Recycling,18
Il faut éteindre l’éclairage public des parcs et jardins fermés la nuit et l’atténuer entre 1h et 5h pour ceux qui restent ouverts.,François,,,292,0.902,0.028,0.069,Environmental Protection,8
Il faut systématiser l’usage de la consigne (verre & plastique),Antoine,33.0,,298,0.894,0.045,0.061,Waste Reduction and Recycling,18
"Il faut sensibiliser les enfants dans les écoles sur la biodiversité avec des TP dans les espaces verts, potager, mini-ferme...",Adrien,20.0,,292,0.9,0.025,0.074,Conservation of Biodiversity,5
"Il faut limiter la production de déchets jetables, qui se retrouvent souvent jetés dans la nature.",Emile,23.0,,295,0.93,0.032,0.038,Waste Reduction and Recycling,18
"Il faut intégrer dans les programmes scolaires dès la maternelle les enjeux de biodiversité : découverte, rôle des espèces, etc.",Malvina,42.0,13.0,274,0.905,0.041,0.054,Conservation of Biodiversity,5
Il faut développer et encourager des techniques agricoles respectueuses de la biodiversité pour une alimentation plus durable.,AVES France,,,392,0.918,0.033,0.049,Sustainable Agriculture,14
"Il faut mettre des passes à poissons sur tous les barrages pour favoriser le brassage génétique, et permettre le passage des migrateurs",Nicolas,45.0,,292,0.88,0.03,0.09,Conservation of Biodiversity,5
Il faut expliquer et impliquer les enfants dans l&apos;importance de la biodiversité. Leur fournir des compétences pratiques pour la protéger,marion,43.0,,278,0.897,0.048,0.055,Conservation of Biodiversity,5
Il faut éteindre toutes les vitrines de magasins et panneaux publicitaires la nuit pour limiter l&apos;impact sur les oiseaux.,Morgane,32.0,63.0,297,0.874,0.088,0.038,Environmental Protection,8
"Il faut limiter l&apos;extension des villes, zones artisanales et industrielles sur les terres agricoles et naturelles",Francis,54.0,23.0,302,0.892,0.057,0.051,Urban Planning and Green Spaces,16
Il faut créer des zones vertes dans les villes.,Kelly,,,294,0.909,0.038,0.052,Urban Planning and Green Spaces,16
Il faut former les agents d&apos;entretien des espaces naturels dans les villes pour préserver faune et flore.,Anne-Hélène,49.0,,294,0.889,0.045,0.066,Urban Planning and Green Spaces,16
"Il faut favoriser l&apos;implantation de Parcs, jardins partagés et îlots de verdures dans toutes les villes.",Fanny,32.0,,298,0.874,0.055,0.071,Urban Planning and Green Spaces,16
Il faut mettre en place des amendes pour ceux qui jettent leur dechets non biodegradables dans la nature en se promenant ou en voiture.,Cecile,36.0,35.0,298,0.913,0.036,0.051,Waste Reduction and Recycling,18
Il faut favoriser le vivant dans l’agriculture et les circuits court tout en rendant les prix abordables pour l’ensemble de la population,Yoann,45.0,,292,0.906,0.032,0.063,Sustainable Agriculture,14
"Il faut restaurer zones humides, méandres de rivières, et ripisylves, qui préserverons la ressource en eau et la continuité écologique.",William,,,286,0.91,0.047,0.043,Water Conservation,19
"Il faut en finir avec les pesticides, cause principale de l&apos;effondrement du vivant. Exiger que la PAC favorise le bio et local.",Jean-Michel,70.0,34.0,302,0.862,0.09,0.047,Environmental Protection,8
Il faut interdire totalement l&apos;utilisation de produits phytosanitaires chimiques nuisibles aux insectes polinisateurs,Annabelle,44.0,,294,0.852,0.089,0.059,Pesticide Reduction,11
Il faut initier les enfants/ados à la compréhension de la faune et la flore via des classes vertes/journées découvertes à la campagne.,Marion,35.0,,294,0.9,0.028,0.072,Conservation of Biodiversity,5
Il faut encourager les municipalités à réduire les émissions de lumière en ville (mais sans compromis sur la sécurité = juste équilibre),Dorothée,45.0,92.0,301,0.905,0.031,0.064,Urban Planning and Green Spaces,16
"Il faut imposer, sur les machines de fauchage d&apos;accotements de voirie, une hauteur de coupe minimale permettant de sauver les hérissons.",Marie Julie,45.0,86.0,298,0.817,0.068,0.115,Animal Welfare,0
Il faut indiquer sur les emballages des produits alimentaires le mode et le lieu d&apos;élevage des animaux entant dans la fabrication du produit,claude,68.0,46.0,297,0.87,0.023,0.107,Animal Welfare,0
Il faut accélérer le calendrier d’interdiction des microbilles et des granulés plastiques pour lutter contre la pollution des océans.,Teragir,,,351,0.85,0.04,0.109,Waste Reduction and Recycling,18
"Il faut installer des nichoirs et fournir des abris pour les oiseaux, les hérissons, les insectes et autres animaux sauvages.",Emilie,44.0,78.0,298,0.88,0.038,0.082,Animal Welfare,0
Il faut réserver la culture du maïs aux zones qui ont une pluviométrie suffisante ou des possibilités naturelles abondantes d’arrosage.,Jean Marc,70.0,38.0,294,0.865,0.069,0.066,Biomass and Forest Management,2
Il faut former les employés municipaux à prendre réellement soins des arbres des communes de France : trop d&apos;arbres mutilés inutilement,Lucien,,,293,0.858,0.045,0.096,Biomass and Forest Management,2
"Il faut sensibiliser, éduquer, les enfants et les parents à la biodiversité",Chantal,68.0,26.0,280,0.88,0.051,0.069,Conservation of Biodiversity,5
Il faut enrichir le programme scolaire sur la biodiversité (de la maternelle à post bac) et ne pas se limiter au tri des déchets,Chantal,70.0,,246,0.884,0.066,0.05,Conservation of Biodiversity,5
Il faut que le braconnage soit plus sévèrement puni !,JM,63.0,,294,0.862,0.035,0.103,Environmental Protection,8
"Il faut, lors de nouvelles constructions, prévoir une cuve qui récupère les eaux de pluie pour alimenter WC et machine à laver.",Sarah,50.0,21.0,288,0.883,0.032,0.084,Water Conservation,19
"Il faut remettre les enfants (et les jeunes) en contact avec la nature. Se ""réintégrer"" à l&apos;écosystème.",Jérôme,47.0,24.0,300,0.896,0.026,0.078,Citizen Engagement and Education,3
Il faut faire connaitre et surtout AIMER la nature aux enfants dès le plus jeune âge. On voit/ protège seulement ce qu&apos;on sait nommer.,Iris,63.0,,298,0.896,0.035,0.07,Citizen Engagement and Education,3
Il faut favoriser les essences d&apos;arbres indigènes dans nos forêts plutôt que d&apos;importer des espèces exotiques.,ETATS SAUVAGES,40.0,,294,0.867,0.04,0.093,Biomass and Forest Management,2
"Il faut que les municipalités, collectivités et autres établissements publics montrent l&apos;exemple avec la gestion de leurs parcs et jardins",Rémy,28.0,74.0,296,0.885,0.033,0.082,Urban Planning and Green Spaces,16
Il faut faucher les abords de route aux dates adéquates et non pas passer la broyeuse pour préserver toute la petite faune .,Jacques,,,292,0.878,0.042,0.08,Insect Protection,10
"Il faut sensibiliser les collectivités aux bonnes pratiques dans l&apos;aménagement de leurs espaces verts : fleurs sauvages, points d&apos;eaux, etc",Juliette,28.0,94.0,290,0.898,0.035,0.066,Urban Planning and Green Spaces,16
Il faut concevoir les aménagements humains de manière à favoriser le développement de la biodiversité locale,Pascal,61.0,31.0,244,0.887,0.026,0.087,Conservation of Biodiversity,5
"Il faut enseigner le soin de la nature dans les écoles tous niveaux, une demi-journée par mois (enseignement, plantations, observations)",Hélène,37.0,18.0,296,0.89,0.035,0.075,Citizen Engagement and Education,3
Il faut lutter contre l’obsolescence programmée.,Juliette,58.0,,231,0.907,0.023,0.07,Environmental Protection,8
Il faut interdire la financiarisation (et la spéculation) de la ressource en eau ,Youn,20.0,,284,0.833,0.029,0.138,Environmental Protection,8
Il faut intégrer la biodiversité dans les programmes scolaires et sensibiliser les jeunes aux enjeux environnementaux,Zelia,25.0,,291,0.888,0.056,0.056,Conservation of Biodiversity,5
Il faut utiliser les friches industrielles pour les nouvelles constructions et laisser tranquilles les zones naturelles ou agricoles,Sophie,57.0,9.0,300,0.846,0.049,0.104,Urban Planning and Green Spaces,16
Il faut promouvoir l&apos;agroécologie pour une agriculture respectueuse de la biodiversité.,Mateo,37.0,,341,0.879,0.052,0.069,Sustainable Agriculture,14
Il faut permettre à chaque citoyen d&apos;accéder à des informations et conseils pour mieux cohabiter avec la faune sauvage,LPO France,,,998,0.908,0.034,0.058,Animal Welfare,0
Il faut des travaux d’intérêt général de ramassage de détritus,Lucile,53.0,44.0,296,0.831,0.042,0.127,Waste Reduction and Recycling,18
Il faut mettre des arbres sur tous les grands parking. Centres commerciaux et zones artisanales. Réduisant ainsi les températures élevées.,Erika,49.0,,302,0.892,0.037,0.071,Biomass and Forest Management,2
Il faut empêcher les agriculteurs d&apos;arracher les haies au lieu de les laisser faire et de donner des subventions pour qu&apos;ils les replantent,Malau,58.0,86.0,292,0.878,0.062,0.059,Sustainable Agriculture,14
"Il faut sensibiliser les enfants en maternelle ou primaire avec des jeux éducatifs, ne pas jeter dans la nature et préserver l&apos;environnement",Marie,60.0,20.0,296,0.902,0.031,0.067,Environmental Protection,8
"Il faut débétoniser et végétaliser les cours d’école, pour sensibiliser dès l’enfance et avoir en ville des espaces de biodiversité protégés",Clémence,31.0,,274,0.878,0.056,0.067,Urban Planning and Green Spaces,16
Il faut condamner les petits (jet de mégots) et gros pollueurs à des journées de nettoyage de la nature au lieu de leur mettre des amendes.,Jean-Christophe,27.0,34.0,299,0.859,0.061,0.079,Waste Reduction and Recycling,18
"Il faut que les néo-ruraux venant des villes arrêtent de vouloir une campagne aseptisée, sans bruit et odeur",Paul,65.0,34.0,296,0.843,0.042,0.116,Environmental Protection,8
Il faut éteindre les lumières des magasins/autres la nuit.,Lee,28.0,,602,0.938,0.023,0.039,Waste Reduction and Recycling,18
"Il faut stopper les produits ménagers remplis de solvants, phosphate et de produits néfastes qui se retrouvent dans l&apos;eau de nos rivières",Amelie,,,283,0.899,0.036,0.065,Environmental Protection,8
Il faut forcer les industriels à stopper les suremballages et produire des matières recyclables en développant les entreprises de recyclage,Rudy,42.0,77.0,294,0.879,0.038,0.083,Waste Reduction and Recycling,18
Il faut protéger les ressources en eau et investir massivement le traitement des eaux grises,Anaïs,42.0,,288,0.873,0.025,0.102,Water Conservation,19
"Il faut à l&apos;école découvrir la faune et la flore locales, et le fonctionnement d&apos;un écosystème. Observer explorer expérimenter déduire agir",Anne,59.0,51.0,294,0.882,0.038,0.079,Environmental Protection,8
"Il faut favoriser l&apos;installation, l&apos;entretien de haies, de fossés et de chemins creux dans les campagnes",Manou,53.0,35.0,296,0.893,0.031,0.075,Biomass and Forest Management,2
Il faut parler des CAUSES des cancers & pédiatriques liés à l&apos;utilisation des pesticides de synthèse (perturbateurs endocriniens),Christian Filhos-Gignac - Association COP Gironde,69.0,33.0,295,0.841,0.045,0.114,Pesticide Reduction,11
Il faut sensibiliser les enfants dès leur plus jeune age sur l&apos;importance de la biodiversité et les actions à mener,Dorothée,45.0,92.0,281,0.881,0.054,0.065,Conservation of Biodiversity,5
"Il faut multiplier les trains, réouvrir les petites gares et baisser drastiquement (voire supprimer) les tarifs des transports en commun",alice,35.0,,292,0.853,0.062,0.085,Sustainable Transportation,15
Il faut forcer les multinationales à respecter l&apos;environnement : leur imposer de vraies limites et les sanctionner lourdement,Cindy,47.0,34.0,296,0.88,0.045,0.075,Environmental Protection,8
"Il faut rendre visibles et accessibles les technologies permettant d&apos;économiser les ressources (isolations, chauffage, eau, etc.)",Coralie,41.0,30.0,290,0.893,0.025,0.082,Renewable Energy and Sustainable Development,13
Il faut sensibiliser la population aux aménagements favorables à la biodiversité,Claire,32.0,,277,0.881,0.021,0.098,Conservation of Biodiversity,5
"Il faut mieux encadrer ou empêcher la destruction des habitats : haies, vieux bâtiments, etc.",Doriane,62.0,59.0,293,0.879,0.066,0.056,Habitat Preservation,9
Il faut installer les centrales de panneaux photovoltaïques sur les zones commerciales et plus dans les zones naturelles.,ELISABETH,50.0,81.0,300,0.871,0.051,0.078,Renewable Energy and Sustainable Development,13
"Il faut diminuer les taxes sur les produits locaux et FR, taxer normalement les produits UE et surtaxer les produits venant de plus loin.",Antoine,34.0,,296,0.85,0.058,0.092,Environmental Protection,8
Il faut restaurer des berges naturelles aux rivières qui on été bétonnés : meilleure régulation des flux et retour des écosystèmes,Cécile,44.0,,294,0.859,0.069,0.072,Environmental Protection,8
Il faut stopper la chasse des espèces menacées.,Lucas,13.0,77.0,296,0.839,0.116,0.045,Conservation of Biodiversity,5
"Il faut interdire la chasse aux baleines partout même au Japon, en Norvège, etc.",Juliette,58.0,,240,0.876,0.043,0.081,Conservation of Biodiversity,5
"Il faut aménager des zones humides, mares temporaires et pérennes, très riches en biodiversité et permet l&apos;accès à l&apos;eau de la faune sauvage",Sandra,,,272,0.866,0.056,0.078,Citizen Engagement and Education,3
"Il faut restaurer et préserver les zones humides, par la remise en prairie, le reméandrage, l&apos;aménagement des berges etc.",MS,27.0,,294,0.874,0.07,0.055,Ecosystem Restoration,6
"Il faut mettre en place, dès l&apos;école primaire, des cours d&apos;éducation à l&apos;environnement et au développement durable.",Cédric,53.0,59.0,296,0.866,0.062,0.072,Citizen Engagement and Education,3
Il faut faire en sorte que les méthodes de fabrication de l&apos;industrie soient les moins polluantes possible et les moins énergivores.,Nathalie,,,293,0.916,0.018,0.066,Renewable Energy and Sustainable Development,13
Il faut planter des espèces mellifères qui fleurissent à différents moments de l&apos;année.,Nathalie,65.0,11.0,298,0.854,0.014,0.131,Conservation of Biodiversity,5
"Il faut inclure des cours sur la connaissance de notre environnement à l&apos;école : les plantes et leurs utilisations ou danger, la faune etc",Florence,46.0,13.0,296,0.898,0.04,0.062,Environmental Protection,8
Il faut instaurer une vraie police de l&apos;environnement chargée de pénaliser les personnes qui créent des décharges sauvages.,Annick,62.0,971.0,296,0.861,0.048,0.09,Waste Reduction and Recycling,18
Il faut végétaliser au maximum l&apos;espace public pour que la nature s&apos;invite dans le quotidien de tous les citoyens,Clémentine,36.0,78.0,292,0.895,0.059,0.045,Urban Planning and Green Spaces,16
Il faut interdire les décharges de déchets d&apos;aller dans la mer ou de les envoyer dans des pays en développement pour les polluer,Sarah,,,299,0.871,0.038,0.091,Waste Reduction and Recycling,18
"Il faut varier les espèces (fleurs, arbres) et en choisir des bien adaptées au climat pour éviter aussi le gaspillage d&apos;eau",Estelle,56.0,75.0,286,0.872,0.039,0.088,Biomass and Forest Management,2
Il faut aider les agricuteurs pour la replantation de haies,Jacques,,,294,0.889,0.049,0.062,Environmental Protection,8
"Il faut sanctionner plus sévèrement et dénoncer publiquement les personnes qui abandonnent déchets, encombrants, gravats, etc dans la nature",Robert,70.0,81.0,300,0.876,0.058,0.066,Waste Reduction and Recycling,18
Il faut inculquer à nos enfants les bon gestes écologiques.,Celine,44.0,,298,0.916,0.021,0.063,Citizen Engagement and Education,3
Il faut davantage de parcs naturels marins protégés sur le territoire,Tatiana,27.0,,293,0.845,0.062,0.093,Protected Areas and Nature Reserves,12
Il faut informer les résidents des petits gestes à faire pour soutenir la biodiversité locale selon les régions et les saisons.,Marlène,36.0,31.0,245,0.9,0.03,0.07,Citizen Engagement and Education,3
"Il faut interdire les panneaux publicitaires lumineux. Cela consomme de l’énergie, exige des investissements financés par la collectivité.",Jerome,63.0,78.0,452,0.89,0.034,0.076,Environmental Protection,8
Il faut sensibiliser les élus et les aménageurs pour préserver la biodiversité et prendre en compte les espèces patrimoniales et protégées.,Sylvia,63.0,83.0,242,0.882,0.026,0.092,Conservation of Biodiversity,5
Il faut promouvoir l&apos;intérêt de la biodiversité dès le plus jeune âge à l&apos;école et jusqu&apos;au lycée,emmanuel,50.0,,279,0.892,0.044,0.064,Conservation of Biodiversity,5
Il faut mieux respecter les écosystèmes historiques régionaux : replanter des haies et les entretenir dans les terroirs à bocages,Eymart,57.0,,298,0.894,0.051,0.055,Biomass and Forest Management,2
Il faut planter des arbres végétaux plantes au lieu de goudronner dans les villes et dans les campagnes trouver des solutions alternatives.,Rolande,63.0,53.0,304,0.879,0.031,0.09,Environmental Protection,8
Il faut limiter tard dans la nuit la pollution lumineuse autant que possible,marie-laure,55.0,31.0,449,0.883,0.036,0.08,Waste Reduction and Recycling,18
Il faut que l&apos;Etat ne soit plus tributaire des lobbys des pesticides,France,39.0,,299,0.874,0.044,0.081,Pesticide Reduction,11
Il faut réellement introduire une éducation au vivant ! Que chaque citoyen ait la possibilité de ne pas ignorer la nature qui l&apos;entoure,Colette,64.0,,296,0.907,0.025,0.069,Citizen Engagement and Education,3
Il faut éduquer les plus jeunes à la préservation de la biodiversité à travers des supports ludiques mais instructifs.,Louisa,54.0,,281,0.897,0.031,0.072,Citizen Engagement and Education,3
Il faut mieux desservir en transport en commun les zones rurales.,Joelle,70.0,4.0,295,0.863,0.059,0.079,Sustainable Transportation,15
Il faut inciter les écoles dans des programmes obligatoires de classes vertes avec sensibilisation à la nature et à son entretien.,Bertrand,43.0,,296,0.86,0.052,0.089,Citizen Engagement and Education,3
Il faut faire comprendre aux citoyens que les eaux pluviales ne sont pas traitées : tout déchet jeté dans la rue se retrouve dans la mer,marie pierre,59.0,,284,0.906,0.005,0.089,Environmental Protection,8
Il faut mieux connaître la biodiversité en l&apos;intégrant dans les cours de sciences et éduquer des le plus jeune âge sans idéologie,Carichon,,,279,0.912,0.026,0.062,Environmental Protection,8
"Il faut éduquer les enfants dans les écoles à l&apos;importance de la biodiversité, au respect de la vie sous toutes ses formes",Sophie,,,334,0.922,0.026,0.052,Citizen Engagement and Education,3
"Il faut systématiser l&apos;utilisation de techniques de génie écologique pour l&apos;aménagement des villes, sortir du tout béton",Romy,,,294,0.862,0.042,0.096,Urban Planning and Green Spaces,16
"Il faut protéger davantage les espaces naturels les plus menacés, en consacrant 10% du territoire en protection forte",LPO France,,,4586,0.864,0.08,0.056,Protected Areas and Nature Reserves,12
"Il faut favoriser et valoriser les circuits courts dans les restaurants scolaires, et autres établissements publics (montrer l&apos;exemple).",Ophélie,30.0,,297,0.862,0.038,0.1,Sustainable Agriculture,14
